nom;pays;vague;familleOrigine;natureEntite;verticale;siteWeb;siren;confiance;segmentCible
EY Expertises & Transactions;;;;diversification;generaliste;https://www.ey.com/fr_fr/services/expertise-comptable;;partielle;eti|grands_comptes
AXWAY SOFTWARE;France;V2 (févr. – avr. 2026);edi;diversification;generaliste;https://www.axway.com/fr/produits/b2b-integration/einvoice;;qualifiee;eti|grands_comptes
ECOSIO;Autriche;V1 (déc. 2025 – janv. 2026);edi;extension_demat;generaliste;https://ecosio.com/fr/;;qualifiee;eti|grands_comptes
EDICOM Group;Espagne;V1 (déc. 2025 – janv. 2026);edi;extension_demat;generaliste;https://edicomgroup.com/fr/;;qualifiee;eti|grands_comptes
SEEBURGER;Allemagne;V1 (déc. 2025 – janv. 2026);edi;extension_demat;generaliste;https://www.seeburger.com/;;qualifiee;eti|grands_comptes
SPS COMMERCE;Pays-Bas;V1 (déc. 2025 – janv. 2026);edi;extension_demat;;https://www.spscommerce.com/;;qualifiee;eti|grands_comptes
TESISQUARE SPA;Italie;V1 (déc. 2025 – janv. 2026);edi;extension_demat;;https://www.tesisquare.com/;;qualifiee;eti|grands_comptes
ecosio InterCom, a Vertex Company;Allemagne;V2 (févr. – avr. 2026);edi;extension_demat;generaliste;https://ecosio.com/;;qualifiee;eti|grands_comptes
In.Te.S.A. spa;Italie;V3 (mai – août 2026);edi|ged;extension_demat;generaliste;https://www.intesa.it/;;qualifiee;eti|grands_comptes|public
iEDI ApS;Danemark;V2 (févr. – avr. 2026);edi|integrateur;extension_demat;generaliste;https://iedi.com/;;partielle;eti|grands_comptes
DOCPROCESS;France;V1 (déc. 2025 – janv. 2026);edi|o2c;extension_demat;generaliste;https://doc-process.com/fr;837863042;qualifiee;eti|grands_comptes
GENERIX Group;France;V1 (déc. 2025 – janv. 2026);edi|o2c;extension_demat;generaliste;https://www.generixgroup.com/fr;377619150;qualifiee;eti|grands_comptes
MySupply Aps;Danemark;V2 (févr. – avr. 2026);edi|s2p;extension_demat;generaliste;https://mysupply.dk/en/;;qualifiee;eti|grands_comptes
SERES;France;V1 (déc. 2025 – janv. 2026);edi|s2p|o2c;extension_demat;generaliste;https://seres.fr/;343778163;qualifiee;eti|grands_comptes
VENTYA;France;V3 (mai – août 2026);edi|s2p|o2c;extension_demat;generaliste;https://www.ventya.fr/;821839982;qualifiee;eti|grands_comptes
EDICOM France;France;V1 (déc. 2025 – janv. 2026);edi|tax;extension_demat;generaliste;https://edicomgroup.fr;444658181;qualifiee;eti|grands_comptes
PAGERO;Suède;V1 (déc. 2025 – janv. 2026);edi|tax;extension_demat;generaliste;https://www.pagero.com/fr;;qualifiee;eti|grands_comptes
Basikon;;;erp;diversification;financement_leasing;https://www.basikon.com/;;partielle;eti|grands_comptes
COMARCH SA;Pologne;V1 (déc. 2025 – janv. 2026);erp|edi;extension_demat;generaliste;https://www.comarch.com/;;qualifiee;eti|grands_comptes
Docnova, MELASOFT GmbH;Allemagne;V3 (mai – août 2026);erp|integrateur|edi;extension_demat;generaliste;https://www.melasoft.com/;;qualifiee;eti|grands_comptes
SAP;Allemagne;V1 (déc. 2025 – janv. 2026);erp|tax;diversification;generaliste;https://www.sap.com/products/financial-management/document-reporting-compliance.html;;qualifiee;eti|grands_comptes
WiseTech GLOBAL;Australie;V1 (déc. 2025 – janv. 2026);erp|tax;diversification;transport;https://www.wisetechglobal.com/;;qualifiee;eti|grands_comptes
PAYFLOWS;France;V2 (févr. – avr. 2026);fintech|s2p;diversification;generaliste;https://payflows.io;912610649;partielle;eti|grands_comptes
CECURITY;France;V1 (déc. 2025 – janv. 2026);ged;extension_demat;generaliste;https://www.cecurity.com/;;qualifiee;eti|grands_comptes
